SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
D915_08036	dual specificity tyrosine-phosphorylation-regulated kinase 1A	301	5	0	89.4	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR24058:SF12 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_15868	kinase domain	316	5	0	78.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24058 (PANTHER); PTHR24058:SF65 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09736	kinase domain	369	5	0	81.4	4	F:GO:0005524; F:GO:0008270; F:GO:0004674; P:GO:0006468	F:ATP binding; F:zinc ion binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000961 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR017892 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24351:SF166 (PANTHER); PTHR24351 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR000961 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein kinase activity; F:protein serine/threonine kinase activity; P:protein phosphorylation
D915_10635	leucine-rich repeat serine threonine- kinase 1	803	5	0	60.4	10	F:GO:0000166; P:GO:0006281; F:GO:0005524; F:GO:0004672; P:GO:0016310; F:GO:0003908; F:GO:0016740; P:GO:0006468; F:GO:0016301; P:GO:0032259	F:nucleotide binding; P:DNA repair; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:methylated-DNA-[protein]-cysteine S-methyltransferase activity; F:transferase activity; P:protein phosphorylation; F:kinase activity; P:methylation			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24349:SF79 (PANTHER); PTHR24349 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_13989	serine threonine- kinase PRP4	474	5	0	91.8	4	F:GO:0005524; C:GO:0016021; F:GO:0004672; P:GO:0006468	F:ATP binding; C:integral component of membrane; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24056:SF45 (PANTHER); PTHR24056 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14135 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01314	glycogen synthase kinase-3 alpha	288	5	0	84.8	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24057 (PANTHER); PTHR24057:SF0 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05166	Receptor tyrosine- kinase erbB-4	350	5	0	79.2	4	F:GO:0000166; F:GO:0004713; C:GO:0016020; P:GO:0006468	F:nucleotide binding; F:protein tyrosine kinase activity; C:membrane; P:protein phosphorylation	EC:2.7.10	Transferring phosphorus-containing groups	IPR001245 (PRINTS); IPR020635 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); PIRSF000615 (PIRSF); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24416:SF95 (PANTHER); PTHR24416 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_12592	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	218	5	8.46E-148	94.2	4	F:GO:0005524; C:GO:0016021; F:GO:0004672; P:GO:0006468	F:ATP binding; C:integral component of membrane; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PTHR24058:SF12 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_11950	kinase suppressor of Ras 2	205	5	5.20E-151	89.8	5	F:GO:0005524; F:GO:0004674; P:GO:0006468; C:GO:0005622; P:GO:0035556	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation; C:intracellular; P:intracellular signal transduction	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR44174:SF3 (PANTHER); PTHR44174 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_13641	casein kinase I isoform delta	284	5	0	84	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PTHR11909 (PANTHER); PTHR11909:SF298 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_00670	alpha subunit of casein kinase II	330	5	0	92.6	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24054 (PANTHER); PTHR24054:SF28 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14132 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_14176	tgf-beta receptor	309	5	0	61.4	1	F:GO:0016740	F:transferase activity			IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR000333 (PANTHER); PTHR23255:SF70 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004702; C:GO:0016020; F:GO:0004672; P:GO:0007178; P:GO:0006468	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:membrane; F:protein kinase activity; P:transmembrane receptor protein serine/threonine kinase signaling pathway; P:protein phosphorylation"
D915_04615	dual specificity tyrosine-phosphorylation-regulated kinase 2	534	5	0	66.2	7	F:GO:0000166; F:GO:0005524; F:GO:0004672; P:GO:0016310; F:GO:0004674; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; F:protein kinase activity; P:phosphorylation; F:protein serine/threonine kinase activity; P:protein phosphorylation; F:kinase activity			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24058:SF65 (PANTHER); PTHR24058 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_03691	Mitogen-activated kinase kinase kinase 1	597	5	0	78.4	4	F:GO:0000166; F:GO:0043167; P:GO:0016310; F:GO:0016301	F:nucleotide binding; F:ion binding; P:phosphorylation; F:kinase activity			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24361 (PANTHER); PTHR24361:SF414 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_02530	casein kinase I delta	321	5	0	93.4	3	F:GO:0005524; F:GO:0004674; P:GO:0006468	F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); PTHR11909:SF155 (PANTHER); PTHR11909 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14016 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08699	tyrosine kinase	273	5	0	92.4	10	F:GO:0005524; F:GO:0004715; P:GO:0045087; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0016477; P:GO:0042127	F:ATP binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:cell migration; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR001245 (PRINTS); IPR020635 (SMART); PIRSF000615 (PIRSF); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24418:SF372 (PANTHER); PTHR24418 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_12316	calcium calmodulin-dependent kinase type IV	269	5	0	74.2	4	F:GO:0004674; F:GO:0005488; P:GO:0006468; C:GO:0044424	F:protein serine/threonine kinase activity; F:binding; P:protein phosphorylation; C:intracellular part	EC:2.7.11	Transferring phosphorus-containing groups	G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24349:SF241 (PANTHER); PTHR24349 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09641	Casein kinase I isoform gamma-1	330	5	0	92.6	4	F:GO:0005524; C:GO:0016021; F:GO:0004674; P:GO:0006468	F:ATP binding; C:integral component of membrane; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR11909:SF155 (PANTHER); PTHR11909 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_05604	serine threonine kinase	519	5	0	68.8	3	P:GO:0065007; F:GO:0004672; P:GO:0006468	P:biological regulation; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24349:SF79 (PANTHER); PTHR24349 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR036179 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_07589	tyrosine kinase	339	5	0	84.4	4	F:GO:0005524; P:GO:0018108; F:GO:0004713; C:GO:0016021	F:ATP binding; P:peptidyl-tyrosine phosphorylation; F:protein tyrosine kinase activity; C:integral component of membrane	EC:2.7.10	Transferring phosphorus-containing groups	IPR001245 (PRINTS); IPR020635 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); PIRSF000615 (PIRSF); mobidb-lite (MOBIDB_LITE); PTHR24416 (PANTHER); PTHR24416:SF400 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00192 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_06304	Tyrosine- kinase STK	246	5	1.96E-152	93	3	F:GO:0005524; P:GO:0018108; F:GO:0004715	F:ATP binding; P:peptidyl-tyrosine phosphorylation; F:non-membrane spanning protein tyrosine kinase activity	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR001245 (PRINTS); IPR020635 (SMART); PIRSF000654 (PIRSF); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); PTHR24418 (PANTHER); PTHR24418:SF292 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_11877	Casein kinase I isoform alpha	285	5	0	92.8	4	F:GO:0005524; F:GO:0016779; F:GO:0004674; P:GO:0006468	F:ATP binding; F:nucleotidyltransferase activity; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PTHR11909 (PANTHER); PTHR11909:SF298 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14016 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_15809	dual specificity testis-specific kinase 2	290	5	0	71	6	F:GO:0000166; F:GO:0005524; F:GO:0004672; P:GO:0016310; P:GO:0006468; F:GO:0016301	F:nucleotide binding; F:ATP binding; F:protein kinase activity; P:phosphorylation; P:protein phosphorylation; F:kinase activity			IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR44164 (PANTHER); PTHR44164:SF2 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_14716	Casein kinase I isoform alpha	327	5	0	87.6	8	P:GO:0008360; C:GO:0005634; F:GO:0005524; C:GO:0005737; P:GO:0006909; P:GO:0016055; F:GO:0004674; P:GO:0018105	P:regulation of cell shape; C:nucleus; F:ATP binding; C:cytoplasm; P:phagocytosis; P:Wnt signaling pathway; F:protein serine/threonine kinase activity; P:peptidyl-serine phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR11909 (PANTHER); PTHR11909:SF84 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_08778	serine threonine kinase	230	5	4.28E-172	86	4	C:GO:0005634; F:GO:0005524; F:GO:0004674; P:GO:0006468	C:nucleus; F:ATP binding; F:protein serine/threonine kinase activity; P:protein phosphorylation	EC:2.7.11	Transferring phosphorus-containing groups	G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); PTHR24342 (PANTHER); PTHR24342:SF12 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_06263	tyrosine kinase	1075	5	0	75.2	11	F:GO:0000166; F:GO:0004715; P:GO:0045087; F:GO:0016829; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0016477; P:GO:0042127	F:nucleotide binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; F:lyase activity; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:cell migration; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR001245 (PRINTS); IPR020635 (SMART); G3DSA:3.30.200.20 (GENE3D); G3DSA:3.40.50.2300 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24418 (PANTHER); PTHR24418:SF284 (PANTHER); IPR000719 (PROSITE_PROFILES); cd00192 (CDD); IPR028082 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_09142	serine threonine kinase	275	5	7.56E-173	64.4	2	F:GO:0003824; P:GO:0044237	F:catalytic activity; P:cellular metabolic process			IPR000719 (SMART); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR13954 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01816	src-type tyrosine kinase-related	311	5	0	84.2	9	F:GO:0005524; F:GO:0004715; P:GO:0045087; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0042127	F:ATP binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR020635 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); PTHR24418 (PANTHER); PTHR24418:SF378 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_03799	dual specificity mitogen-activated kinase kinase 2	242	5	3.80E-155	76.6	4	F:GO:0000166; F:GO:0004702; C:GO:0005737; P:GO:0006468	"F:nucleotide binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24361 (PANTHER); PTHR24361:SF629 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_01409	AP2-associated kinase 1	319	5	0	81	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR22967 (PANTHER); PTHR22967:SF57 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_03659		1117									IPR000719 (SMART); G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR11909:SF201 (PANTHER); PTHR11909 (PANTHER); IPR000719 (PROSITE_PROFILES); cd14017 (CDD); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_13720	Wee1 kinase	592	5	0	85.8	3	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation			IPR000719 (SMART); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR11042:SF99 (PANTHER); PTHR11042 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09569	macrophage colony stimulating factor 1 receptor	1117	5	0	57.6	11	F:GO:0000166; P:GO:0018108; F:GO:0005524; F:GO:0004713; C:GO:0016020; C:GO:0016021; F:GO:0004672; P:GO:0016310; F:GO:0016740; P:GO:0006468; F:GO:0016301	F:nucleotide binding; P:peptidyl-tyrosine phosphorylation; F:ATP binding; F:protein tyrosine kinase activity; C:membrane; C:integral component of membrane; F:protein kinase activity; P:phosphorylation; F:transferase activity; P:protein phosphorylation; F:kinase activity			IPR020635 (SMART); IPR001245 (PFAM); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR013783 (G3DSA:2.60.40.GENE3D); PTHR24416 (PANTHER); IPR007110 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_06305	tyrosine kinase 5	204	5	5.65E-153	87.4	10	F:GO:0005524; F:GO:0004715; P:GO:0045087; P:GO:0030154; C:GO:0031234; P:GO:0007169; P:GO:0038083; F:GO:0005102; P:GO:0016477; P:GO:0042127	F:ATP binding; F:non-membrane spanning protein tyrosine kinase activity; P:innate immune response; P:cell differentiation; C:extrinsic component of cytoplasmic side of plasma membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway; P:peptidyl-tyrosine autophosphorylation; F:receptor binding; P:cell migration; P:regulation of cell proliferation	EC:2.7.10; EC:2.7.10.2	Transferring phosphorus-containing groups; Non-specific protein-tyrosine kinase	IPR020635 (SMART); IPR000980 (PFAM); IPR036860 (G3DSA:3.30.505.GENE3D); IPR001245 (PFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR24418:SF242 (PANTHER); PTHR24418 (PANTHER); IPR000980 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR036860 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
D915_12190	traf2 and NCK-interacting kinase	319	5	0	94.8	4	F:GO:0005524; F:GO:0004702; C:GO:0005737; P:GO:0023014	"F:ATP binding; F:signal transducer, downstream of receptor, with serine/threonine kinase activity; C:cytoplasm; P:signal transduction by protein phosphorylation"	EC:2.7.11	Transferring phosphorus-containing groups	G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR24361:SF405 (PANTHER); PTHR24361 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_09319	serine threonine kinase	443	5	0	75	3	F:GO:0000166; F:GO:0004672; P:GO:0006468	F:nucleotide binding; F:protein kinase activity; P:protein phosphorylation			G3DSA:1.10.510.10 (GENE3D); IPR000719 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24055 (PANTHER); PTHR24055:SF344 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_10023	tyrosine kinase	237	5	1.61E-177	78	3	C:GO:0016020; P:GO:0016310; F:GO:0016301	C:membrane; P:phosphorylation; F:kinase activity			IPR001245 (PRINTS); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR001245 (PFAM); PTHR24416:SF349 (PANTHER); PTHR24416 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein kinase activity; P:protein phosphorylation
D915_04520	tyrosine kinase	575	5	0	80	5	F:GO:0005524; P:GO:0018108; F:GO:0004714; C:GO:0016021; P:GO:0007169	F:ATP binding; P:peptidyl-tyrosine phosphorylation; F:transmembrane receptor protein tyrosine kinase activity; C:integral component of membrane; P:transmembrane receptor protein tyrosine kinase signaling pathway	EC:2.7.10; EC:2.7.10.1; EC:2.7.11	Transferring phosphorus-containing groups; Receptor protein-tyrosine kinase; Transferring phosphorus-containing groups	IPR020635 (SMART); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR001245 (PFAM); mobidb-lite (MOBIDB_LITE); PTHR24416:SF104 (PANTHER); PTHR24416 (PANTHER); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY)	F:GO:0005524; F:GO:0004713; F:GO:0004672; P:GO:0006468	F:ATP binding; F:protein tyrosine kinase activity; F:protein kinase activity; P:protein phosphorylation
